DRM Pillar,DRM sub-pillar,"Minimum policy, legal and institutional requirements",Implementation Status (Sectoral/ Territorial implications entailed by the minimum requirement),Key DRM outputs produced ,Key enablers for disaster resilience,Comments,,
1. Legal and Institutional DRM Framework,1.1. DRM policies and institutions,"Is there a legal framework (e.g., DRM law or others) defining distinct mandates for disaster risk reduction on the one hand, and for emergency management, on the other?",Did the institution responsible for coordinating or leading DRM activities receive dedicated funding for these functions in the last fiscal year? ,"Since the adoption of the DRM legal framework: (1) have DRM policy instruments (e.g., DRM strategies or policies) been officially approved? (2)  have DRM-related regulations (e.g., rules on the structure or functions of the DRM agency) been officially approved? If yes, please specify which policy document(s) and/or regulation(s). ","(1) Are gender-specific considerations included in DRM legal frameworks? (2) Is climate change and its potential impact on disaster risk included in DRM legal frameworks? (3) When they exist, do climate change laws and regulations (such as climate laws or climate adaptation policy/strategies) contain disaster risk management as a target, aim, mean or result?","For cells with two or three questions, 1/2 or 1/3 points are attributed to each subquestion.",,
,1.2. Mainstreaming DRM into national and sectoral development plans,"Does the National Development Strategy (or equivalent national planning instrument) contain objectives, targets or indicators related to DRM and/or CCA?","Is there a reporting or monitoring mechanism to track progress toward DRM and/or CCA targets included in the National Development Strategies? If yes, please report those progress","Since the adoption of the National Development Strategy, have at least 50% of essential government entities* included explicit DRM and/or CCA targets and indicators in their strategic planning documents?",Is the integration of DRM considerations into sectoral planning documents coordinated at the central level and guided by norms and clear standards? ,"We define essential government entities as the main ministry or agency in charge of the followings sectors: Agriculture, Education, Housing, Health, Energy, Tourism, Transport, Water and Sanitation,",,
2. Risk Identification,-,"Do laws and regulations clearly define institutional responsabilities and mandates for producing, acquiring, and managing risk information (e.g., hazard information, vulnerability assessments, risk profiles, historical disaster databases)?","(1) Is the existing risk information available to government institutions (e.g., through a set of MoUs)? (2) Is it openly available to the general public through an online platform?",Do at least half of the essential govenrment entities use existing risk information to inform their sectoral planning processes?,Do available national risk assessments or disaster risk profiles account for the potential impacts of climate change?,,,
3. Risk Reduction,3.1. Territorial and urban planning,"Do laws and regulations mandate the use of risk information (e.g., hazard maps, risk assessments...) to develop territorial, spatial, land use or urban planning instruments?","Do official methodologies to guide the development of risk-informed territorial, spatial, land use or urban planning instruments exist?","Have at least 50% of the instruments (territorial, spatial, land use or urban planning) approved in the last 5 years used risk information (e.g., hazard maps, risk assessments)?",(1) Are there specific regulations governing the identification and zoning process of high-risk areas? (2) Do guidelines or procedures for managing housing located in high-risk areas exist?,,,
,3.2. Public investment at the central level,Do laws and regulations mandate disaster and climate risk screening as part of the appraisal of new public investment projects?,Do official guidelines defining disaster and climate risk screening methodologies for new public investment projects exist? ,Are risk mitigation measures in place for new projects that have been appraised as high-risk (or equivalent) through the disaster and climate screening process?,Do the appraisal process of new public investment projects include an estimation of the resilience benefits brought about by said project? Do the regulations governing environmental impact assessments (or equivalent process) include specific provisions for disaster risk analysis?  Are Public-Private Partnership projects also included in climate and disaster risk screening? ,,,
,3.3. Sector-specific risk reduction measures,"Are there standards or technical guidelines for the disaster-resilient design and construction of critical infrastructure in the following sectors: (1) transport (roads), (2) education (schools), (3) health (hospitals), or (4) energy infrastructure?","Is there at least one legally mandatory building code or standard that requires earthquake-resistant or other hazard-resistant (e.g., wind, flood) design for buildings?","Over the last 5 years, is there at least one public project/program that has received a budget allocation for retroffitting works based on vulnerability assessments and resilient standards? ",Is there an asset management system for public infrastructure that includes disaster risk analysis?,,,
,,Is the legal framework and institutional arrangements for water supply and sanitation in urban areas considering flood risk? ,Is there a legal and institutional framework that promotes integrated water resources management (IWRM) and explicitly incorporates flood and drought risk considerations?,Over the last three years: (1) have any watershed basins undergone improvements in water management?; and (2) has the percentage of urban residents with access to sewage services increased?,Are water governance policy documents considering changes to rainfall patterns under different climate scenarios? ,,,
4. Preparedness,4.1. Early Warning Systems (EWS),"Do laws clearly and coherently define the institutions responsible for Early Warning Systems, avoiding fragmentation?","Do institutions involved in EWS—data producers, decision-makers, and implementers of preparedness and response—operate under an established, functional coordination mechanism, evidenced by formal arrangements such as MoUs or regular coordination platform meetings?","Over the most recent major disaster, was the population promptly alerted (e.g., via SMS or other tailored communication channels)? ","Over the past three years, has there been a budget allocation for the expansion, maintenance, or operation of the hydrometeorological network?",,,
,4.2. Emergency Preparedness and Response (EP&R),Do laws clearly define the roles and responsibilities of institutions involved in EP&R? ,Have at least 75% of the subnational EP&R entities mandated by law been officially established?,(1) Does at least 75% of essential governemnent entities have an emergency response protocol / operational continuity plan? (2) Does at least 75% of subnational EP&R entities have an approved contingency plan / emergency response protocol?,"Do emergency preparedness plans incorporate gender-sensitive measures, such as gender-based violence prevention, safe shelters, and women's specific needs during evacuation and displacement? ",,,
,4.3. Adaptive Social Protection (ASP),"Is there a legal and institutional framework for ASP that defines the roles and responsibilities of institutions involved in ASP (e.g., social protection, finance, DRM)?",Is there a unified social registry incorporating exposure and vulnerability data to facilitate the targeting of population potentially affected in case of disaster or climate-related shocks?,"During the most recent disaster or climate-related shocks, was support promptly provided to the population through social‐protection programs?  (e.g., cash transfers in the case of drought)?",Are there pre-arranged financing mechanisms that can be specifically used to support timely scaling-up of regular SP programs? ,,,
5. Financial Protection,5.1. Fiscal risk management,"Has the Ministry of Finance created or explicitly tasked an existing institutional structure (department, unit) to manage contingent liabilities and/or fiscal risks including those associated with disasters? ",Are contingent liabilities associated with disasters quantified through an established methodology for the major hazards?,"Do key fiscal policy documents (e.g., the medium-term fiscal framework or fiscal risk statements) include quantified assessments of disaster risks? If yes, please specify which document(s).",Does the government conduct stress tests of public debt that include disaster or climate-related scenarios?,,,
,5.2. Disaster Risk Financing (DRF) strategies and instruments,"Are there sovereign risk financing instruments (i.e., disaster or emergency funds, contingent loans, insurance or other risk transfer mechanisms) in place to manage the financial impact of disasters and climate-related shocks? If yes, please list them. ",(1) Is the disaster fund (or equivalent mechanism) receiving a budget allocation? (2) Are there regulations that define standards for catastrophe insurance coverage of public or private assets?,"Over the past 5 years, has the $ amount of financing that can be mobilized through sovereign risk financing instruments increased? Please provide numbers when available",Is there a legal or policy framework that outlines a layered Disaster Risk Financing (DRF) strategy combining risk retention and risk transfer instruments?,,,
6. Resilient Reconstruction,-,Are there laws or regulations that establish the institutions responsible for coordinating post-disaster recovery and reconstruction?,Have at least 50% of the essential government entities approved ex-ante sector-specific reconstruction guidelines?,"For the most recent major disaster, have the land use or territorial planning instruments in the affected areas been reviewed to enable resilient reconstruction?",Have guidelines or regulations to conduct post-disaster damage and needs assessments been developed and approved?,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
